"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"So I Married an Axe Murderer","(1993)","6.5","Comedy","Romance","Mike Myers,Nancy Travis,Anthony LaPaglia,Amanda Plummer,Brenda Fricker","
        
            A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.
    ","(36,928)","Thomas Schlamme",NA,"
                    $20,000,000 (estimated)
            ",NA,NA,"
                            93 min
                        "
"The Program","(1993)","6.5","Action","Drama","James Caan,Halle Berry,Omar Epps,Craig Sheffer,Kristy Swanson","
        
            Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.
    ","(10,280)","David S. Ward",NA,"
                    $15,000,000 (estimated)
            ",NA,NA,"
                            112 min
                        "
"Cliffhanger","(1993)","6.5","Action","Adventure","Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner,Rex Linn","
        
            A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
    ","(125,855)","Renny Harlin","
Nominated for 3 Oscars. Another 1 win & 9 nominations.
            ","
                    $70,000,000 (estimated)
            ","
                    $20,458,022, 31 May 1993
            ","
                    $171,000,000
            ","
                            113 min
                        "
"Under Siege","(1992)","6.5","Action","Thriller","Steven Seagal,Damian Chapa,Troy Evans,David McKnight,Lee Hinton","
        
            An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.
    ","(83,175)","Andrew Davis","
Nominated for 2 Oscars. Another 3 wins & 1 nomination.
            ","
                    $35,000,000 (estimated)
            ","
                    $156,400,000
            ",NA,"
                            103 min
                        "
"The Heroic Trio","(1993)","6.5","Action","Fantasy","Maggie Cheung,Michelle Yeoh,Anita Mui,Damian Lau,Anthony Chau-Sang Wong","
        
            While one tough woman with an invisible robe has stolen 18 babies for her powerful master, two other tough women and the cops try to stop her.
    ","(3,272)","Johnnie To","
1 win & 3 nominations.
            ",NA,NA,NA,"
                            88 min
                        "
"Sister Act","(1992)","6.5","Comedy","Family","Whoopi Goldberg,Maggie Smith,Kathy Najimy,Wendy Makkena,Mary Wickes","
        
            When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity.
    ","(94,256)","Emile Ardolino","
9 wins & 10 nominations.
            ","
                    $31,000,000 (estimated)
            ","
                    $11,894,587, 31 May 1992
            ","
                    $231,600,000
            ","
                            100 min
                        "
"Beyond the Law","(1993)","6.5","Crime","Drama","Charlie Sheen,Linda Fiorentino,Michael Madsen,Courtney B. Vance,Leon Rippy","
        
            An undercover cop joins a murderous, arms-dealing biker gang to try to put them behind bars.
    ","(6,684)","Larry Ferguson",NA,"
                    $18,000,000 (estimated)
            ",NA,NA,"
                            108 min
                        "
"Alien³","(1992)","6.5","Action","Horror","Sigourney Weaver,Charles S. Dutton,Charles Dance,Paul McGann,Brian Glover","
        
            After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.
    ","(290,124)","David Fincher","
Nominated for 1 Oscar. Another 5 wins & 24 nominations.
            ","
                    $66,000,000 (estimated)
            ","
                    $23,141,188, 25 May 1992
            ","
                    $159,773,600
            ","
                            114 min
                        "
"1492: Conquest of Paradise","(1992)","6.5","Adventure","Biography","Gérard Depardieu,Armand Assante,Sigourney Weaver,Loren Dean,Ángela Molina","
        
            Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.
    ","(29,586)","Ridley Scott","
2 nominations.
            ","
                    $47,000,000 (estimated)
            ","
                    $52,000,000
            ",NA,"
                            154 min
                        "
"Filofax","(1990)","6.5","Comedy",NA,"Jim Belushi,Charles Grodin,Anne De Salvo,Loryn Locklin,Stephen Elliott","
        
            An uptight advertising exec' has his entire life in a filofax organizer which mistakenly ends up in the hands of a friendly convict who poses as him.
    ","(8,490)","Arthur Hiller",NA,NA,NA,NA,"
                            108 min
                        "
"Driving Me Crazy","(1991)","6.5","Comedy","Drama","Ed O'Neill,Ethan Embry,JoBeth Williams,Christopher McDonald,Ari Meyers","
        
            To get to know his girlfriend's son, a working-class good guy volunteers to pick him up from his prep school, only to learn that he isn't the nicest young man.
    ","(12,396)","Peter Faiman","
1 win & 1 nomination.
            ","
                    $17,000,000 (estimated)
            ","
                    $2,997,000, 19 Jul 1991
            ",NA,"
                            107 min
                        "
"An American Tail: Fievel Goes West","(1991)","6.5","Animation","Adventure","Phillip Glasser,James Stewart,Erica Yohn,Cathy Cavadini,Nehemiah Persoff","
        
            A family of Emigre mice decide to move out to the West, unaware that they are falling into a trap perpetrated by a smooth-talking cat.
    ","(25,342)","Phil Nibbelink","
1 nomination.
            ","
                    $40,766,041
            ",NA,NA,"
                            75 min
                        "
"Nightbreed","(1990)","6.5","Action","Fantasy","Craig Sheffer,Anne Bobby,David Cronenberg,Charles Haid,Hugh Quarshie","
        
            A troubled young man is drawn to a mythical place called Midian where a variety of friendly monsters are hiding from humanity. Meanwhile, a sadistic serial killer is looking for a patsy.
    ","(22,018)","Clive Barker","
7 wins & 5 nominations.
            ","
                    $11,000,000 (estimated)
            ","
                    $3,708,918, 19 Feb 1990
            ",NA,"
                            102 min
                        "
"The Exorcist III","(1990)","6.5","Drama","Horror","George C. Scott,Ed Flanders,Brad Dourif,Jason Miller,Nicol Williamson","
        
            A police Lieutenant uncovers more than he bargained for as his investigation of a series of murders, which have all the hallmarks of the deceased Gemini serial killer, leads him to question the patients of a psychiatric ward.
    ","(30,402)","William Peter Blatty","
2 wins & 5 nominations.
            ","
                    $12,925,427
            ",NA,NA,"
                            110 min
                        "
